id,title,description,link,image_link,availability,price,brand,condition,google_product_category,product_type,identifier_exists,shipping,tax,material,size,custom_label_0,custom_label_1
candle-60-amethyst-lavender,Candle «Amethyst · Lavender» 60g,"Meditative candle with amethyst crystal. Calms the mind, opens intuition. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.",https://soulinpsyabstract.store/store.html#candle-60-amethyst-lavender,https://soulinpsyabstract.store/assets/img/products/candle_photo_01.jpg,in stock,60.00 ILS,Soul In PsyAbstract,new,Home & Garden > Decor > Candles & Candleholders > Candles,Candles,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
candle-60-quartz-rose,Candle «Rose Quartz · Rose» 60g,Love candle with rose quartz. Attracts tenderness and self-acceptance. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.,https://soulinpsyabstract.store/store.html#candle-60-quartz-rose,https://soulinpsyabstract.store/assets/img/products/candle_photo_02.jpg,in stock,60.00 ILS,Soul In PsyAbstract,new,Home & Garden > Decor > Candles & Candleholders > Candles,Candles,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
candle-150-vanilla-amber,Candle «Vanilla · Amber» 150g,Warm honey candle for comfort and warmth. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.,https://soulinpsyabstract.store/store.html#candle-150-vanilla-amber,https://soulinpsyabstract.store/assets/img/products/candle_photo_08.jpg,in stock,120.00 ILS,Soul In PsyAbstract,new,Home & Garden > Decor > Candles & Candleholders > Candles,Candles,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
candle-250-eucalyptus,Candle «Eucalyptus · Mint» 250g,Cleansing candle for clarity and fresh space. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.,https://soulinpsyabstract.store/store.html#candle-250-eucalyptus,https://soulinpsyabstract.store/assets/img/products/candle_photo_05.jpg,in stock,200.00 ILS,Soul In PsyAbstract,new,Home & Garden > Decor > Candles & Candleholders > Candles,Candles,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
candle-400-ritual,Candle «Ritual · Red» 400g,Large ritual candle. An artifact for meditation and transformation. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.,https://soulinpsyabstract.store/store.html#candle-400-ritual,https://soulinpsyabstract.store/assets/img/products/candle_photo_12.jpg,in stock,300.00 ILS,Soul In PsyAbstract,new,Home & Garden > Decor > Candles & Candleholders > Candles,Candles,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
soap-coal,Soap «Charcoal · Detox»,Detox soap with activated charcoal. Cleanses and mattifies. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.,https://soulinpsyabstract.store/store.html#soap-coal,https://soulinpsyabstract.store/assets/img/products/candle_photo_09.jpg,in stock,80.00 ILS,Soul In PsyAbstract,new,Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Washes & Soaps,Soap,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
soap-milk-honey,Soap «Milk · Honey»,Gentle nourishing soap. Softens and moisturises skin. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.,https://soulinpsyabstract.store/store.html#soap-milk-honey,https://soulinpsyabstract.store/assets/img/products/candle_photo_10.jpg,in stock,80.00 ILS,Soul In PsyAbstract,new,Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Washes & Soaps,Soap,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
set-candle-3,Set «Three Candles in Pouches» 180g,"Gift set — three candles in velvet pouches with UV-varnish tag. Ritual, beauty, scent. Handmade by SoulInPsyAbstract. UV aesthetic. Ritual quality.",https://soulinpsyabstract.store/store.html#set-candle-3,https://soulinpsyabstract.store/assets/img/products/candle_photo_03.jpg,in stock,370.00 ILS,Soul In PsyAbstract,new,Home & Garden > Decor > Candles & Candleholders,Sets,no,IL:::0.00 ILS,IL:*:17:y,"Natural wax, essential oils",,handmade,il-only
art_01,Spirals of Love and Chaos — Original UV Painting,"Original psychedelic abstract painting by Aelin AquaSoul · Soul In PsyAbstract. UV-reactive acrylic on canvas — two realities: daylight and UV glow. Approx. 40×50 cm. Unique signed work. Eilat, Israel.",https://soulinpsyabstract.store/store.html#art_01,https://soulinpsyabstract.store/assets/img/01.jpg,in stock,400.00 USD,Soul In PsyAbstract,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Original Art > Painting > Acrylic UV,no,"IL:::0 USD,US:::25.00 USD",US:*:0:y,Canvas · Acrylic · UV paint,40x50cm,original-painting,price-400usd
art_02,Love in Spirals — Original UV Painting,"Original psychedelic abstract painting by Aelin AquaSoul · Soul In PsyAbstract. UV-reactive acrylic on canvas — two realities: daylight and UV glow. Approx. 40×50 cm. Unique signed work. Eilat, Israel.",https://soulinpsyabstract.store/store.html#art_02,https://soulinpsyabstract.store/assets/img/02.jpg,in stock,400.00 USD,Soul In PsyAbstract,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Original Art > Painting > Acrylic UV,no,"IL:::0 USD,US:::25.00 USD",US:*:0:y,Canvas · Acrylic · UV paint,40x50cm,original-painting,price-400usd
art_03,Luminescent Symphony of Hearts — Original UV Painting,"Original psychedelic abstract painting by Aelin AquaSoul · Soul In PsyAbstract. UV-reactive acrylic on canvas — two realities: daylight and UV glow. Approx. 40×50 cm. Unique signed work. Eilat, Israel.",https://soulinpsyabstract.store/store.html#art_03,https://soulinpsyabstract.store/assets/img/03.jpg,in stock,400.00 USD,Soul In PsyAbstract,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Original Art > Painting > Acrylic UV,no,"IL:::0 USD,US:::25.00 USD",US:*:0:y,Canvas · Acrylic · UV paint,40x50cm,original-painting,price-400usd
art_04,Hearts in Labyrinth — Original UV Painting,"Original psychedelic abstract painting by Aelin AquaSoul · Soul In PsyAbstract. UV-reactive acrylic on canvas — two realities: daylight and UV glow. Approx. 40×50 cm. Unique signed work. Eilat, Israel.",https://soulinpsyabstract.store/store.html#art_04,https://soulinpsyabstract.store/assets/img/04.jpg,in stock,400.00 USD,Soul In PsyAbstract,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Original Art > Painting > Acrylic UV,no,"IL:::0 USD,US:::25.00 USD",US:*:0:y,Canvas · Acrylic · UV paint,40x50cm,original-painting,price-400usd
art_05,Soul's Chaos — Original UV Painting,"Original psychedelic abstract painting by Aelin AquaSoul · Soul In PsyAbstract. UV-reactive acrylic on canvas — two realities: daylight and UV glow. Approx. 40×50 cm. Unique signed work. Eilat, Israel.",https://soulinpsyabstract.store/store.html#art_05,https://soulinpsyabstract.store/assets/img/05.jpg,in stock,400.00 USD,Soul In PsyAbstract,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Original Art > Painting > Acrylic UV,no,"IL:::0 USD,US:::25.00 USD",US:*:0:y,Canvas · Acrylic · UV paint,40x50cm,original-painting,price-400usd
art_06,Neon Soul of Chaos — Original UV Painting,"Original psychedelic abstract painting by Aelin AquaSoul · Soul In PsyAbstract. UV-reactive acrylic on canvas — two realities: daylight and UV glow. Approx. 40×50 cm. Unique signed work. Eilat, Israel.",https://soulinpsyabstract.store/store.html#art_06,https://soulinpsyabstract.store/assets/img/06.jpg,in stock,400.00 USD,Soul In PsyAbstract,new,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Original Art > Painting > Acrylic UV,no,"IL:::0 USD,US:::25.00 USD",US:*:0:y,Canvas · Acrylic · UV paint,40x50cm,original-painting,price-400usd
